,constant_name,definition,IPPF_Spanish (proposed),Same as Def?,Notes,source,openemr,test,spanish,argentina,panama,haiti,,0,TEST,KEVIN or ANA
3818,No adenopathy (2 areas required),No adenopatías (2 áreas requeridas),No adenopatías (2 áreas requeridas),1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
3819,No adjustment reason type found for,Ninguna razón de tipo de ajuste encontrada para,Ningún tipo de razón de ajuste encontrada para,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
3820,No adnexal tenderness/masses,No dolor/masa en anexos,No dolor/masa en anexos,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
3821,No Appointments,No hay citas,No hay citas,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
3822,No billing system is currently active,Sistema de facturación no se encuentra activa,No hay un sistema de facturación activo actualmente,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
3823,No Bills Found to Include in OFX Export,No hay facturas encontradas para incluir en Exportación OFX,No hay facturas encontradas para incluir en exportación OFX,0,Open Financial Exchange (OFX) is a data-stream format for exchanging financial information,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,1
3824,No Bills Found to Include in OFX Export<br>,Ningunas cuentas se encuentran para incluir en la exportación de OFX ,Ninguna cuenta se encuentra para incluir en exportación OFX ,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
3825,No Box,Sin Caja,Sin Caja,1,,test,NULL,Sin Caja,NULL,NULL,NULL,NULL,1,0,1,0
3826,No code was specified!,No se ha especificado el código!,¡No se ha especificado el código!,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
3827,No conception after 12 months w/o FP & female <34 years,No concibe después de 12 meses sin PF y mujer <34,No concibe después de 12 meses sin PF y mujer <34,1,,test,NULL,No concibe después de 12 meses sin PF y mujer <34,NULL,NULL,NULL,NULL,1,0,1,0
3828,No conception after 6 months w/o FP & female >35 years,No concibe después de 6 meses sin PF y mujer <34,No concibe después de 6 meses sin PF y mujer >35,0,,test,NULL,No concibe después de 6 meses sin PF y mujer <34,NULL,NULL,NULL,NULL,1,1,1,0
3829,No currently studying,No estudiando actualmente,No estudia actualmente,0,,test,NULL,No estudiando actualmente,NULL,NULL,NULL,NULL,1,1,1,0
3830,No Diagnosis,Ninguna diagnosis ,Ningún diagnóstico,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
3831,No Documents Found,Ningunos documentos encontrados,Ningún documento encontrados,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
3832,No Encounter could be created,No pueden crearse visitas,Ninguna visita pudo crearse,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
3833,No end date,Sin fecha de finalización,Sin fecha de finalización,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
3834,"No entries found, use the form below to add an entry.","No se encuentran entradas, utilice el formulario que aparece a continuación para agregar una entrada.","No se encuentran entradas, utilice el formulario que aparece a continuación para agregar una entrada.",1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
3835,No errors found,errores no encontrados,No se encontraron errores,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
3836,No Events,No hay Eventos,No hay Eventos,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
3837,No files staged for installation,No hay ficheros preparados para la instalación,No hay archivos preparados para la instalación,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
3838,No group was selected,Ningún grupo fue seleccionado,Ningún grupo fue seleccionado,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
3839,No hernia,Ninguna hernia ,Ninguna hernia ,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
3840,No injury/illness,No lesion/enfermedad,Ninguna lesion/enfermedad,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
3841,No Insurance Companies Found,No se encontro ninguna Sociedad Médica,No se encontró alguna Compañía de Seguros,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
3842,No Issues,No hay incidencias,No hay incidencias,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
3843,No issues in this encounter.,,No hay incidencias en esta visita,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,1,0,0
3844,No items under selected category,No hay artículos bajo la categoría seleccionada,No hay artículos bajo la categoría seleccionada,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
3845,No items were selected!,¡Ningun artículo fue seleccionado!,¡Ningun artículo fue seleccionado!,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
3846,No log file exist for the selected date,No hay fichero de registro para la fecha seleccionada,No hay archivo de registro para la fecha seleccionada,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
3847,"No masses, tenderness",Sin masas ni sensibilidad,No se observaron masas ni sensibilidad,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
3848,No match Patient record found for the given Re Idenitification code,Ningún registro de paciente encontrado para el código de Re-identificación,Ningún registro de cliente encontrado para el código de Re-identificación del expediente,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
3849,No matches found. Try search again.,No hay coincidencias. Intentar buscar de nuevo.,No hay coincidencias. Intente buscar de nuevo.,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
3850,No matches were found.,No se han encontrado coincidencias.,No se han encontrado coincidencias.,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
3851,No matches were found. Create new patient now?,,No se han encontrado coincidencias. ¿Se crea el cliente nuevo ahora?,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,1,0,0
3852,No matches were found. Create the new patient now?,No se encontró. ¿Crear el nuevo paciente ahora?,No se han encontrado coincidencias. ¿Se crea el cliente nuevo ahora?,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
3853,No matching records found,No hay registros coincidentes,No hay registros coincidentes,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
3854,No new results found,No hay nuevos resultados encontrados,No hay nuevos resultados encontrados,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
3855,No notes,Ningunas notas ,No hay notas ,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
3856,No ogrganomegoly,No hay organomegalia,No hay organomegalia,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
3857,No openings were found for this period.,No se encontraron huecos para este periodo.,No se encontraron citas disponibles para este periodo.,0,Need careful revision of multi-cultural settings. In Guatemala huecos mans gay persons ,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,1
3858,No other phone numbers listed,No figuran otros números de teléfono,No figuran otros números de teléfono,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
3859,No Partners Found,Socios no encontrado,Socios no encontrados,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
3860,No Patient record found for given Selection criteria,No se hallaron registros de paciente para el criterio proporcionado,No se hallaron registros de paciente para el criterio proporcionado,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
3861,No Patient record found for the given Re Identification code,No hay registros de paciente encontrados para el código de Re-identificación dado,Ningún registro de cliente encontrado para el código de Re-identificación del expediente,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
3862,No peripheral edema,Ningún edema periférico,Ningún edema periférico,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
3863,No Pharmacies Found,Ninguna Farmacia Encontrada,Ninguna farmacia econtrada,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
3864,No Prescriptions Found,No se encontraron recetas,No se encontraron recetas,1,,test,Ninguna Prescripción Encontrada,No se encontraron recetas,NULL,NULL,NULL,NULL,1,0,1,0
3865,No presenting illness/injury,Ninguna enfermedad/lesión actuales,No presenta enfermedad/lesiones,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
3866,No previous entries.,Sin entradas anteriores,Sin entradas anteriores.,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
3867,No Primary Business Entity selected in facility list,Ninguna Empresa Primaria seleccionada en la lista del Centro,Ninguna Empresa Primaria seleccionada en la lista de centros de servicios,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
3868,No prior encounters.,,No hay visitas previas.,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,1,0,0
3869,No procedures in this encounter.,,No hay procedimientos en esta visita.,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,1,0,0
3870,No Providers Found,Ningun Facultativo Encontrado,No se encontraron proveedores,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
3871,No rash or abnormal lesions,Ninguna erupción o lesiones anormales ,Ninguna erupción o lesiones anormales ,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
3872,No records found,Registros no encontrados,Ningún registro encontrado,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
3873,No records found. Please expand your search criteria.,Registros no encontrados. Por favor amplíe sus criterios de búsqueda. ,Ningún registro encontrado. Por favor expanda sus criterios de selección.,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
3874,No Reminders,No hay recordatorios,No hay recordatorios,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
3875,"No Result Found, for the above search criteria.","Resultados no encontrados, para los criterios de búsqueda.",Ningún resultado encontrado para los criterios de búsqueda anteriores.,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
3876,No Results,Sin resultados,Sin resultados,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
3877,No results found,,Ningún resultado encontrado,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,1,0,0
3878,No Results Found For Search,Búsqueda sin resultado,Ningún resultado encontrado para esta búsqueda,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
3879,"No results found, please try again.","Ningun resultado, por favor intente de nuevo","Ningún resultado encontrado, por favor intente de nuevo.",0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
3880,"No results, please tray again.","Ningun resultado, por favor trate de nuevo","Ningún resultado, por favor intente de nuevo.",0,Duplicate with typo in constant ,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,1
3881,"No results, please try again.","Sin resultados, por favor intente de nuevo","Ningún resultado, por favor intente de nuevo.",0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
3882,No Show,Ausente,No se presentó,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
3883,No Sinus Tenderness:,Ninguna sensibilidad del Seno: ,Ninguna sensibilidad del seno nasal: ,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
3884,No skin dimpling or breast nodules,Sin hoyuelos en la piel o nódulos en la mama,Sin hoyuelos en la piel o nódulos en la mama,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
3885,NO SUCH CONTEXT NAME,NINGÚN NOMBRE DE CONTEXTO,NINGÚN NOMBRE DE CONTEXTO,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
3886,No table selected! Select a table.,,Ninguna tabla seleccionada. Seleccione una tabla. ,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,1,0,0
3887,"No testicular tenderness, masses","No hay sensibilidad testicular, masas",No hay sensibilidad testicular o masas,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
3888,No thrills or heaves,Ningunas emociones o tirones ,No se observa estremecimiento catareo o movimientos precordiales,0,The valve areas are palpated for abnormal pulsations (palpable heart murmurs known as thrills) and precordial movements (known as heaves),openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,1
3889,No visit,Sin visita,Sin visita,1,,test,No hay Encuentro,Sin visita,NULL,NULL,NULL,NULL,1,0,1,0
3890,No vitals have been documented.,Constantes vitales no han sido documentadas.,Los signos vitales no han sido documentados.,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
3891,"No, Cancel","No, Cancelar","No, Cancelar",1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
3892,"No, cancel","No, cancelar","No, cancelar",1,,test,NULL,"No, cancelar",NULL,NULL,NULL,NULL,1,0,1,0
3893,No-fault Insurance including Auto is Primary,Ningún seguro de defecto incluyendo Auto es principal,"El seguro sin culpa, incluido el auto es primario",0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
3894,No. Children Now Living with You,Núm. Hijos que viven con usted,Número de hijos que viven con usted,0,,test,NULL,Núm. Hijos que viven con usted,NULL,NULL,NULL,NULL,1,1,1,0
3895,No. Miscarriages/Spontaneous Abortions,Núm. Abortos espontáneos,Número de. Abortos espontáneos,0,,test,NULL,Núm. Abortos espontáneos,NULL,NULL,NULL,NULL,1,1,1,0
3896,No. of Tubal Pregnancies (Ectopic),Núm. Embarazos ectópicos,Número de. Embarazos ectópicos,0,,test,NULL,Núm. Embarazos ectópicos,NULL,NULL,NULL,NULL,1,1,1,0
3897,No:,No:,núm:,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
3898,Nocturia,Nocturia ,Nocturia ,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
3899,Non enrolled,No escolarizado,No escolarizado,1,,test,NULL,No escolarizado,NULL,NULL,NULL,NULL,1,0,1,0
3900,Non Paid,No Pagado,No Pagado,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
3901,Non Reported Report,Informe No Reportado,Informe No Reportado,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
3902,Non specific injury,Lesión no específica ,Lesión no específica ,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
3903,Non SRH - Medical specialties,No SSR - Especialidades médicas,No SSR - Especialidades médicas,1,,panama,NULL,NULL,NULL,NULL,No SSR - Especialidades médicas,NULL,1,0,0,0
3904,Non stated,No determinado,No determinado,1,,test,NULL,No determinado,NULL,NULL,NULL,NULL,1,0,1,0
3905,Non-electronic,No-electrónico,No-electrónico,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
3906,Non-Insulin Dependent Diabetes,Diabetes no insulino dependiente,Diabetes no insulino dependiente,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
3907,Non-Insured,No asegurado,No asegurado,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
3908,Non-SRH - Family Health,No SSR - Salud Familiar,No SSR - Salud Familiar,1,,test,NULL,No SSR - Salud Familiar,NULL,NULL,NULL,NULL,1,0,1,0
3909,Non-SRH - Risk Reduction,No SSR - Reducción Riesgos/Daños,No SSR - Reducción Riesgos/Daños,1,,test,NULL,No SSR - Reducción Riesgos/Daños,NULL,NULL,NULL,NULL,1,0,1,0
3910,Non-SRH Medical,Servicios Médicos de Especialidad,Servicios Médicos de Especialidad,1,,test,No-SRH Médico,Servicios Médicos de Especialidad,NULL,NULL,NULL,NULL,1,0,1,0
3911,Non-SRH Non-Medical,No-SRH No-Médico,No-SRH No-Médico,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
3912,None,Ninguna,Ninguna,1,,test,Ninguno,Ninguna,NULL,NULL,NULL,NULL,1,0,1,0
3913,none,ninguno,ninguno,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
3914,None defined,No definido,No definido,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
3915,None have been documented,No ha sido documentado,Ninguno ha sido documentado,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
3916,None of the above,Ninguna de las anteriores ,Ninguna de las anteriores ,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
3917,None of the Top Distribution Row Can be Completly Blank.,Ninguna de las Filas de Distribución Superior puede estar Completamente en Blanco.,Ninguna de las filas superiores de Distribución puede quedar completamente en blanco.,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
3918,Noninsulin Dependent Diabetes,Diabetes no insulino dependiente ,Diabetes no insulino dependiente ,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
3919,Nor,Tampoco ,Normal,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
3920,Normal,Normal,Normal,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
3921,Normal BL,Normal BL,Normal en el límite,0,BL = Border Line = En el Límite,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,1
3922,Normal Cardiac Exam:,Examen Cardiaco Normal: ,Examen Cardiaco Normal: ,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
3923,Normal Cardiac Exam: ,Examen Cardiaco Normal: ,Examen Cardiaco Normal: ,1,Duplicate,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,1
3924,Normal Flow,Flujo normal,Flujo normal,1,,test,NULL,Flujo normal,NULL,NULL,NULL,NULL,1,0,1,0
3925,Normal Length of Menstrual Cycle,Duración normal de ciclo menstrual,Duración normal de ciclo menstrual,1,,test,NULL,Duración normal de ciclo menstrual,NULL,NULL,NULL,NULL,1,0,1,0
3926,Normal Lung Exam:,Examen Normal del Pulmón: ,Examen Normal del Pulmón: ,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
3927,Normal Lung Exam: ,Examen Normal del Pulmón:,Examen Normal del Pulmón:,1,Duplicate,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,1
3928,Normal Menarche,Menarquia normal,Menarquia normal,1,,test,NULL,Menarquia normal,NULL,NULL,NULL,NULL,1,0,1,0
3929,Normal Office Visit,Visita normal en el Centro,Visita normal a Oficinas,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
3930,Normal Oropharynx:,Orofaringe normal:,Orofaringe normal:,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
3931,Normal Right,Derecho Normal ,Derecho Normal ,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
3932,Normal Right:,Derecho Normal: ,Derecho Normal: ,1,Duplicate,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,1
3933,Normal View,Ver Normal,Vista normal,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
3934,normal:,normal:,normal:,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
3935,Normally this should be checked. Not related to access control.,Normalmente esto debe ser comprobado. No relacionado con el control de acceso.,Normalmente esto debe ser comprobado. No relacionado con el control de acceso.,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
3936,Norwegian,Noruego,Noruego,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
3937,Nose,Nariz ,Nariz ,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
3938,Nosebleed,Sangrado por la nariz ,Sangrado por la nariz ,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
3939,not a letter or number,No es letra ni úmero,No es letra o número,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
3940,Not all fields are required for all codes or code types.,No todos los campos son obligatorios para todos los códigos o tipos de códigos.,No todos los campos son obligatorios para todos los códigos o tipos de códigos.,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
3941,Not Allowed,No permitido ,No está permitido ,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
3942,Not allowed to delete the Administrators group,No pueden eliminar el grupo Administradores,No está permitido eliminar el grupo Administradores,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
3943,Not Allowed to Edit,No permitido Editar,No está permitido Editar,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
3944,Not allowed to inactivate all security objects,No pueden inactivar todos los objetos de seguridad,No está permitido desactivar todos los objetos de seguridad,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
3945,Not allowed to inactivate anything from the Administrators ACL,No permitido hacer inactivo cualquier cosa de los administradores ACL,No está permitido desactivar parte alguna de la LCA de administradores,0,ACL = Access Control List = Lista de Control de Accesos = LCA,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,1
3946,Not allowed to remove the admin user from the Administrators group,No pueden eliminar el usuario administrador del grupo Administradores,No está permitido eliminar al usuario administrador del grupo Administradores,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
3947,Not allowed to remove this user from the Administrators group,No permitido eliminar este usuario del grupo de Administradores,No está permitido eliminar a este usuario del grupo de Administradores,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
3948,Not Applicable,,No aplicable,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,1,0,0
3949,Not authorised to access PostCalendar module,No autorizado para tener acceso al módulo de PostCalendar,No está autorizado para tener acceso al módulo de PostCalendar,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
3950,Not Authorized,No Autorizado,No Autorizado,1,Duplicate,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,1
3951,Not authorized,No autorizado,No autorizado,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
3952,Not authorized for this squad!,¡No autorizado para este equipo!,¡No está autorizado para este equipo!,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
3953,Not authorized for this squad.,No autorizados para este equipo.,¡No está autorizado para este equipo!,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
3954,Not authorized to manage users!,,¡No está autorizado para administrar usuarios!,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,1,0,0
3955,Not authorized to sign results,,¡No está autorizado para firmar resultados!!,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,1,0,0
3956,Not Available,No disponible,No disponible,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
3957,Not billed,No facturado,No facturado,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
3958,Not Checked,No Chequeado,No verificado,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
3959,Not checked out,No registró salida,No registró salida,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
3960,Not Coded,No codificado,No codificado,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
3961,Not Due,No Vencido,No vencido,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
3962,Not Examined,No examinado,No examinado,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
3963,Not Examined:,No Examinado:,No Examinado:,1,Duplicate,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,1
3964,Not Examined: ,No Examinado:,No Examinado:,1,Duplicate,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,1
3965,not found,No se ha encontrado,No se ha encontrado,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
3966,not found!,No encontrado! ,¡No se ha encontrado!,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
3967,Not Having,Que no realizaron,Que no realizaron,1,Please verify this term,test,NULL,Que no realizaron,NULL,NULL,NULL,NULL,1,0,1,1
3968,Not Hispanic or Latino,No Hispano o Latino,No Hispano o Latino,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
3969,Not installed,No instalado,No instalado,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
3970,Not seen since,No visto desde,No visto desde,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
3971,Not sent,,No enviado,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,1,0,0
3972,Not Sent Yet,No enviado todavía,No enviado todavía,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
3973,Not Specified,,Sin Especificar,0,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,1,0,0
3974,Not Specified.,Sin Especificar,Sin Especificar.,0,Duplicate,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,1
3975,Note,Nota,Nota,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
3976,Note Codes,Código Notas,Códigos de Notas,0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
3977,Note it will take 5-10 minutes to fully process after you click Install,Tenga en cuenta que el proceso completo después de hacer click en instalar puede tardar 5-10 minutos,Tenga en cuenta que el proceso completo después de hacer click en instalar puede tardar 5-10 minutos,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
3978,Note it will take 5-10 minutes to fully process after you click Upgrade,Tenga en cuenta que el proceso completo después de hacer click en actualizar puede tardar 5-10 minutos,Tenga en cuenta que el proceso completo después de hacer click en actualizar puede tardar 5-10 minutos,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
3979,Note that Audit Logging needs to be enabled above,Tenga en cuenta que la Auditoría de inicio sesión necesita estar activada arriba,Tenga en cuenta que la Auditoría de inicio sesión necesita estar activada arriba,1,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,0,0,0
3980,Note Type,Tipo de nota,Tipo de nota,1,,test,Tipo de Nota,Tipo de nota,NULL,NULL,NULL,NULL,1,0,1,0
3981,"Note: 12:00 noon is PM, not AM","Nota: 12:00 mediodía es PM, no AM","Nota: 12:00 del mediodía es PM, no AM",0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
3982,"NOTE: Importing external data can take more than an hour depending on your hardware configuration. For example, one of the RxNorm data tables contain in excess of 6 million rows.","NOTA: Importar datos externos puede tomar más de una hora dependiendo de su configuración hardware. Por ejemplo, una de las tablas de datos RxNorm contiene más de 6 millones de líneas.","NOTA: Importar datos externos puede tomar más de una hora dependiendo de su configuración de hardware. Por ejemplo, una de las tablas de datos RxNorm contiene más de 6 millones de líneas.",0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
3983,NOTE: Only the Biannual International Snomed Release is currently supported,NOTA: Solo la versión Bianual Snomed Internacional es actualmente soportada,"NOTA: Actualmente, solo la versión Bianual Snomed International está soportada",0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
3984,NOTE: Only the full monthly RxNorm release is currently supported,NOTA: Solo la versión completa mensual de RxNorm es actualmente soportada,"NOTA: Actualmente, solo la versión completa mensual de RxNorm está soportada",0,,openemr,NULL,NULL,NULL,NULL,NULL,NULL,1,1,0,0
