constant_name,definition,source,openemr,test,spanish,argentina,panama,haiti
"Hip Problems","Problemas de cadera",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Hip Replacement","Reemplazo de Cadera",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"HIPAA Notice Received","Aviso Recibido de HIPPA",openemr,NULL,NULL,NULL,NULL,NULL,NULL
Hirsutism/Striae,"Hirsutismo/Estrías ",openemr,NULL,NULL,NULL,NULL,NULL,NULL
Hispanic,Hispano,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Hispanic - Other (Born in US)","Hispano - Otro (Nacido en EEUU)",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Hispanic - Other (Born outside US)","Hispano - Otro (Nacido fura de EEUU)",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Hispanic or Latino","Hispano o Latino",openemr,NULL,NULL,NULL,NULL,NULL,NULL
History,"Historia Médica Familiar",test,Historial,"Historia Médica Familiar",NULL,NULL,NULL,NULL
"History Data","Historia Médica",test,"Historia de Datos","Historia Médica",NULL,NULL,NULL,NULL
"History Date","Fecha de Historia",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"History Murmur","Historia de Murmullos",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"History not authorized","Historia no está Autorizado",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"History of Heart Murmur","Historia de Soplo Cardiaco",test,"Historia de Murmullos de Corazón ","Historia de Soplo Cardiaco",NULL,NULL,NULL,NULL
Hits,Concidencias,test,Hits,Concidencias,NULL,NULL,NULL,NULL
HIV,HIV,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"HIV testing","Test VIH",test,NULL,"Test VIH",NULL,NULL,NULL,NULL
HIV/AIDS,VIH/SIDA,test,NULL,VIH/SIDA,NULL,NULL,NULL,NULL
"HIV/AIDS during Pregnancy","VIH/SIDA en embarazon",test,NULL,"VIH/SIDA en embarazon",NULL,NULL,NULL,NULL
"HIV/AIDS Tests","Test VIH/SIDA",test,NULL,"Test VIH/SIDA",NULL,NULL,NULL,NULL
HIV:,VIH,test,NULL,VIH,NULL,NULL,NULL,NULL
"HL7 Viewer","Visor HL7",openemr,NULL,NULL,NULL,NULL,NULL,NULL
HMOL/L,HMO/L,openemr,NULL,NULL,NULL,NULL,NULL,NULL
Hmong,Hmong,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Hold down Ctrl to select multiple items","Mantener apretado Control para seleccionar múltiples elementos",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Hold down Ctrl to select multiple squads","Mantenga presionada la tecla CTRL para seleccionar varios escuadrones",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Hold down [Ctrl] for multiple selections or to unselect","Mantener apretado Control para selecciones múltiples o deseleccionar",openemr,NULL,NULL,NULL,NULL,NULL,NULL
Home,Inicio,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Home Phone","Tel. casa",test,"Teléfono de casa","Tel. casa",NULL,NULL,NULL,NULL
"Home Phone Number","Teléfono particular",test,"Teléfono de Casa ","Teléfono particular",NULL,NULL,NULL,NULL
"Home Phone:","Tel. casa",test,NULL,"Tel. casa",NULL,NULL,NULL,NULL
"Homeless or similar?","¿Sin techo o similar?",test,"Sin hogar o similares?","¿Sin techo o similar?",NULL,NULL,NULL,NULL
"Homeless, etc","Sin hogar, etc.",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Homeless, etc.","Sin hogar, etc.",test,"Sin hogar, etc","Sin hogar, etc.",NULL,NULL,NULL,NULL
"Hormonal analysis","Análisis hormonal",test,NULL,"Análisis hormonal",NULL,NULL,NULL,NULL
"Hormonal Patch","Parche hormonal",test,NULL,"Parche hormonal",NULL,NULL,NULL,NULL
"Hormone releasing IUD (5 years)","DIU Liberador de hormonas (5 años)",test,NULL,"DIU Liberador de hormonas (5 años)",NULL,NULL,NULL,NULL
"Host Name","Nombre de Huesped",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Host Name cannot be empty","El nombre del huesped no puede estar vacio",openemr,NULL,NULL,NULL,NULL,NULL,NULL
Hour,Hora,openemr,NULL,NULL,NULL,NULL,NULL,NULL
Hours,Horas,openemr,NULL,NULL,NULL,NULL,NULL,NULL
Housewife,"Administradora del hogar",panama,NULL,NULL,NULL,NULL,"Administradora del hogar",NULL
"How did Injury Occur?","¿Cómo ocurrió la lesión?",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"How did Injury Occur?:","¿Cómo ocurrió la lesión?: ",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"How did they hear about us","Cómo supo de nosotros",test,"Como nos ha conocido","Cómo supo de nosotros",NULL,NULL,NULL,NULL
"How many months ahead to query for upcoming events?","¿Cuántos meses de antelación a la consulta para los próximos eventos?",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"How Many More Children Wanted","¿Cuántos más hijos desea?",test,NULL,"¿Cuántos más hijos desea?",NULL,NULL,NULL,NULL
HPI:,HPI:,openemr,NULL,NULL,NULL,NULL,NULL,NULL
HT,Altura,openemr,NULL,NULL,NULL,NULL,NULL,NULL
HTML,HTML,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"HTML Output?",,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Https link for the OpenEMR Support LLC Lab Exchange Service.","Vínculo Https segurizado para el soporte OpenEMR LLC Servicio de tránsito de datos de laboratorio.",openemr,NULL,NULL,NULL,NULL,NULL,NULL
Hungarian,Húngaro,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Hylafax Directory","Hylafax Directorio",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Hylafax Enscript Command","Hylafax Commando Enscript",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Hylafax Server","Hylafax Servidor",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Hylafax server hostname.","Hylafax Servidor Hostname",openemr,NULL,NULL,NULL,NULL,NULL,NULL
Hyperactive,Hiperactivo,openemr,NULL,NULL,NULL,NULL,NULL,NULL
Hypertension,Hipertensión,test,"Hipertensión ",Hipertensión,NULL,NULL,NULL,NULL
"Hypertension with Vascular Disease","Hipertensión con enfermedad cardiovascular",test,NULL,"Hipertensión con enfermedad cardiovascular",NULL,NULL,NULL,NULL
"Hypertension: Blood Pressure Measurement","Hipertensión: Medida de presión arterial",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Hypertension: Blood Pressure Measurement (CQM)","Hipertensión: Medida de presión arterial (GCC)",openemr,NULL,NULL,NULL,NULL,NULL,NULL
Hyperthyroidism,Hipertiroidismo,openemr,NULL,NULL,NULL,NULL,NULL,NULL
Hypothyroidism,Hipotiroidismo,openemr,NULL,NULL,NULL,NULL,NULL,NULL
Hysterectomy,Histerectomía,openemr,NULL,NULL,NULL,NULL,NULL,NULL
I,I,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"I am busy during this time.","Estoy ocupado durante este periodo.",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"I do not have permission to read ","No tengo permiso para leer",openemr,NULL,NULL,NULL,NULL,NULL,NULL
ICD,ICD,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"ICD10 Diagnosis","Diagnóstico ICD10",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"ICD10 Procedure/Service","Procedimiento/Servicio ICD10",openemr,NULL,NULL,NULL,NULL,NULL,NULL
ICD9,ICD9,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"ICD9 Diagnosis","Diagnóstico ICD9",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"ICD9 Procedure/Service","Procedimiento/Servicio ICD9",openemr,NULL,NULL,NULL,NULL,NULL,NULL
ID,"DNI/No. Identificación",test,"Nº Identificación ","DNI/No. Identificación",Identificación,NULL,"DNI/No. Identificación",Identificacion
Id,Id,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"ID (?)",Identificación,test,NULL,Identificación,NULL,NULL,NULL,NULL
"ID cannot be blank","La ID no puede quedar en blanco",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"ID Card","Tarjeta ID",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"ID Type","Tipo de ID",test,NULL,"Tipo de ID",NULL,NULL,NULL,NULL
IDays,IDays,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"identified as","identificado como ",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Identifier(one word)","Identificador (una palabra)",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Identifying Code",,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Idle Session Timeout Seconds","Tiempo de espera inactivo en segundos",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"If all data for all columns are complete for this form","Si todos los datos para todas las columnas están completos para este formulario",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"If billing justification is used enter the name of the diagnosis code type.","Si la justificación de facturación se utiliza introduzca el nombre del código de tipo de diagnóstico.",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"if entered, select only those who have had this service","Si es introducido, seleccione solamente aquel que ha tenido este servicio",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"If name, any part of lastname or lastname,firstname","Si el nombre, apellido de cualquier parte o apellido, Nombre",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"If paying by","Si pagando por",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"If person is deceased, then enter date of death.","Si la persona ha fallecido, introducir la fecha de la muerte.",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"If SMTP is used, the server`s hostname or IP address.","Si usa SMTP, nombre del servidor host o la dirección IP.",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"If SMTP is used, the server`s TCP port number (usually 25).","Si usa SMTP, puerto TCP del servidor (normalmente 25).",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"if unemployed enter Student","Si no tiene trabajo, poner Estudiante",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"If YMD is selected for age display, switch to just Years when patients older than this value in years",,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"If you change e-RX Role for ePrescription, it may affect the ePrescription workflow. If you face any difficulty, contact your ePrescription vendor.","Si cambia el rol de la ePrescripción de receta electrónica, puede afectar al flujo de la ePrescripción. Frente a cualquier dificultad, contacte con su prescriptor de ePrescripción.",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"If you have chosen to upload electronic remittances, then the search window redisplays itself with the matching invoices from the X12 file.  You may click on any of these invoice numbers (as described below) if you wish to make any corrections before the ","Si ha optado por subir remesas electrónicas la ventana de búsqueda muestra las facturas X12 correspondientes del archivo. Puede hacer clic en cualquiera de estos números de factura (como se describe a continuación) si desea hacer las correcciones antes de enviar la información. Para aplicar los cambios, haga clic en el botón de Procesar Archivos ERA en la parte inferior de la página. Esto producirá una nueva ventana con un informe detallado.",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"If you have entered a Pay Date in the search page, this will override the posting date of payments and adjustments that are otherwise taken from the X12 file.  This may be useful for reporting purposes, if you want your receipts reporting to use your post","Si usted ha incorporado una fecha de pago a la página de la búsqueda, ésta eliminará la fecha de pagos original y los ajustes que se toman del archivo X12. Esto puede serle útil si usted quiere que sus recibos muestren la fecha original en lugar de la fecha admitida por el seguro. Observe que esto también afectará a las fechas de pagos anteriores y a los ajustes que se ponen en demandas secundarias. ",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"If you want to change data types, or add rows or columns","Si quiere cambiar tipos de datos, o añadir filas o columnas",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"If you want to upgrade the database, then place the database zip file in the following directory","Si quiere actualizar la base de datos, coloque el fichero comprimido de base de datos en el siguiente directorio",openemr,NULL,NULL,NULL,NULL,NULL,NULL
Ignore,Desconocido,openemr,NULL,NULL,NULL,NULL,NULL,NULL
Illness,Enfermedad,openemr,NULL,NULL,NULL,NULL,NULL,NULL
IM,IM,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Imaging Service","Servicio de imágenes",openemr,NULL,NULL,NULL,NULL,NULL,NULL
Immunization,Vacunación,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Immunization Code","Código Vacunación",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Immunization Date","Fecha Vacunación",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Immunization Expiration Date",,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Immunization Lot Number","Número de lote Vacunación",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Immunization Manufacturer","Fabricante de Vacuna",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Immunization Registry","Registro Vacunación",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Immunization Service","Servicio de Vacunación",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Immunization Title","Título Vacunación",openemr,NULL,NULL,NULL,NULL,NULL,NULL
Immunizations,Inmunizaciones,test,"Inmunizaciones ",Inmunizaciones,NULL,NULL,NULL,NULL
Immunize,Inmunizaciones,test,inmunizar,Inmunizaciones,NULL,NULL,NULL,NULL
Immunologic,"Inmunológicas ",openemr,NULL,NULL,NULL,NULL,NULL,NULL
Implant,Implante,test,NULL,Implante,NULL,NULL,NULL,NULL
Implants,Implantes,openemr,NULL,NULL,NULL,NULL,NULL,NULL
Import,Importar,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Import certificate to the browser.","Importarr el certificado al buscador",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Import Configuration","Importar configuración",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Import Patient","Paciente de importación ",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Import Patient Demographics","Paciente de importación Demografía ",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Important Codes","Códigos importantes",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"IMPORTANT: This upload tool is only for uploading documents on patients that are not yet entered into the system. To upload files for patients whom already have been entered into the system, please use the upload tool linked within the Patient Summary scr",,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Imported from Accounting","Importados de Contabilidad",openemr,NULL,NULL,NULL,NULL,NULL,NULL
Improved,"Mejorado ",openemr,NULL,NULL,NULL,NULL,NULL,NULL
IN,ingreso,openemr,NULL,NULL,NULL,NULL,NULL,NULL
in,plg,panama,en,plg,NULL,NULL,plg,dentro
"in each eye","dentro de cada ojo",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"in left eye","en ojo izquierdo",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"in nostril","en los agujeros de la nariz",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"In Office","En la oficina",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"in right eye","en ojo derecho",openemr,NULL,NULL,NULL,NULL,NULL,NULL
in-house,"en inventario",panama,"Dentro de la empresa","en inventario",NULL,NULL,"en inventario","en casa"
Inactive,Inactivo,test,"Inactivo ",Inactivo,NULL,NULL,NULL,NULL
"Inactive Days","Días inactivo",test,"Días no activo","Días inactivo",NULL,NULL,NULL,NULL
"Inbound External Referrals","Referencias externas - Recibir",test,NULL,"Referencias externas - Recibir",NULL,NULL,NULL,NULL
"Inbound Internal Referrals","Referencias internas - Recibir",test,NULL,"Referencias internas - Recibir",NULL,NULL,NULL,NULL
"Inbound Referral","Referencias hacia la clínica",test,NULL,"Referencias hacia la clínica",NULL,NULL,NULL,NULL
Inbox,Entrada,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Include Checksum","Incluya checksum",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Include Completed","Incluir completos",test,"Incluya completado","Incluir completos",NULL,NULL,NULL,NULL
"Include inactive users","Incluir usuarios inactivos",test,"Incluir los usuarios inactivos ","Incluir usuarios inactivos",NULL,NULL,NULL,NULL
"Include Uncategorized","Incluir no categorizados",test,"Incluir a un no clasificado","Incluir no categorizados",NULL,NULL,NULL,NULL
"Include Unstructured data","Incluir datos no estructurados",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Include Vital Signs","Incluir signos vitales",test,NULL,"Incluir signos vitales",NULL,NULL,NULL,NULL
"Include Vitals","Incluir constantes vitales",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Include vitals data?","¿Incluir las constantes vitales?",openemr,NULL,NULL,NULL,NULL,NULL,NULL
Inclusion,Inclusión,openemr,NULL,NULL,NULL,NULL,NULL,NULL
Income,Ingresos,openemr,NULL,NULL,NULL,NULL,NULL,NULL
Incomplete,Incompleto,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Incomplete Abortion Treatment","Tratamiento Aborto incompleto",openemr,NULL,NULL,NULL,NULL,NULL,NULL
Incontinence,Incontinencia,test,"Incontinencia ",Incontinencia,NULL,NULL,NULL,NULL
"Incorporate clinical lab-test results into certified EHR technology as structured data.","Incorporar resultados clínicos del test de laboratorio al certificado tecnológico EHR como estructura",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Incorrect password!",,NULL,NULL,NULL,NULL,NULL,NULL,NULL
increased:,Incremento,test,aumentado:,Incremento,NULL,NULL,NULL,NULL
"Indemnity Insurance","Seguro de Indemnización",openemr,NULL,NULL,NULL,NULL,NULL,NULL
Indeterminate,indeterminado,openemr,NULL,NULL,NULL,NULL,NULL,NULL
Indian,Indio,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Indicates abnormality","Indica anormalidad",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Indicates if DOB is estimated","Indica si Fecha Nac es estimada",test,NULL,"Indica si Fecha Nac es estimada",NULL,NULL,NULL,NULL
"Indicates if this issue is currently active","Indica si esta incidencia está activa",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Indicator for specialized usage","Indicador de uso especializado",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Indigent Patients","Pacientes indigentes",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Indigent Patients Report","Informe de Pacientes Indigentes",openemr,NULL,NULL,NULL,NULL,NULL,NULL
Indigents,Indigentes,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Induced Abortion","Aborto Inducido",openemr,NULL,NULL,NULL,NULL,NULL,NULL
Ineligible,Inelegible,openemr,NULL,NULL,NULL,NULL,NULL,NULL
Infection,Infección,test,NULL,Infección,NULL,NULL,NULL,NULL
"Infection / Abscess",Infección/abceso,openemr,NULL,NULL,NULL,NULL,NULL,NULL
Infections,Infecciones,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Infert Couns","Consejo Infertilidad ",openemr,NULL,NULL,NULL,NULL,NULL,NULL
Infertility,Infertilidad,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Infertility Treatment","Tratam. Infertilidad",test,NULL,"Tratam. Infertilidad",NULL,NULL,NULL,NULL
Infertility/Subfertility,Infertilidad/Subfertilidad,panama,NULL,NULL,NULL,NULL,Infertilidad/Subfertilidad,NULL
"Infertility/Subfertility Basic History","Infertilidad/Subfertilidad - Historia Básica",panama,NULL,NULL,NULL,NULL,"Infertilidad/Subfertilidad - Historia Básica",NULL
"Infertility/Subfertility Tests","Infertilidad/Subfertilidad - Pruebas",panama,NULL,NULL,NULL,NULL,"Infertilidad/Subfertilidad - Pruebas",NULL
"Infertility/Subfertility Treatments","Infertilidad/Subfertilidad - Tratamientos",panama,NULL,NULL,NULL,NULL,"Infertilidad/Subfertilidad - Tratamientos",NULL
"Influenza 1","Gripe 1 ",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Influenza 2","Gripe 2",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Influenza Immunization for Patients >= 50 Years Old","Vacunación gripe p/ pacientes may.50 años",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Influenza Immunization for Patients >= 50 Years Old (CQM)","Vacunación gripe p/ pacientes may.50 años (GCC)",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Influenza Vaccine","Vacuna gripe",openemr,NULL,NULL,NULL,NULL,NULL,NULL
Info,Información,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Info test 1","Información de ensayo 1",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Info test 2","Información de ensayo 2",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Info test 3","Información de ensayo 3",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Info test 4","Información de ensayo 4",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Info test 5","Información de ensayo 5",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Info test 6","Información de ensayo 6",openemr,NULL,NULL,NULL,NULL,NULL,NULL
inhalations,Inhalaciones,openemr,NULL,NULL,NULL,NULL,NULL,NULL
inhilations,Inhalaciones,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Initial User","Usuario Inicial",openemr,NULL,NULL,NULL,NULL,NULL,NULL
Inj/Rehab,Lesión/Rehabilitación,openemr,NULL,NULL,NULL,NULL,NULL,NULL
Injectable,Inyectable,test,NULL,Inyectable,NULL,NULL,NULL,NULL
Injectables,Inyectables,openemr,NULL,NULL,NULL,NULL,NULL,NULL
Injection,Inyeccion,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Injured Body Part","Parte del cuerpo lesionada",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Injured Out","Herido a Fuera",openemr,NULL,NULL,NULL,NULL,NULL,NULL
Injury,Herido,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Injury Mechanism","Mecanismo de lesión",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Injury Overview Report","Informe General de lesión",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Injury Surveillance","Vigilancia de Lesiones",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Injury Type","Tipo de lesión",openemr,NULL,NULL,NULL,NULL,NULL,NULL
Injury/illness-related,"Relacionado a lesion/enfermedad",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Input does not begin with a MSH segment",,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Input Fields","Campos de entrada",openemr,NULL,NULL,NULL,NULL,NULL,NULL
INR,"Tiempo Protrombina",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Ins 1","Aseg 1",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Ins 2 or Ins 3","Aseg 2 o Aseg 3",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Ins Address",,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Ins adjust","Ajuste Seg",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Ins bundling","paquete de seguro",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Ins Code","Código Aseguradora",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Ins Group",,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Ins Name",,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Ins overpaid","Sobre pago Seg",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Ins Policy",,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Ins refund","Reembolso Seg",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Ins Summary","Resumen Seg",openemr,NULL,NULL,NULL,NULL,NULL,NULL
Ins1,Seg1,openemr,NULL,NULL,NULL,NULL,NULL,NULL
Ins2,Seg2,openemr,NULL,NULL,NULL,NULL,NULL,NULL
Ins3,Seg3,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Insert failed: ","Insertar fallido:",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Insert old events into tables","Introduzca los eventos antiguos en tablas",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Insert special field","Insertar campo especial",panama,NULL,NULL,NULL,NULL,"Insertar campo especial",NULL
"Insert special field:","Insertar campo especial",panama,NULL,NULL,NULL,NULL,"Insertar campo especial",NULL
Insomnia,Insomnio,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Inspect the log",,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Inspection,Inspección,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Instability / subluxation",Inestabilidad/subluxación,openemr,NULL,NULL,NULL,NULL,NULL,NULL
INSTALL,INSTALAR,openemr,NULL,NULL,NULL,NULL,NULL,NULL
Install,Instalar,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"install DB","Instalar BD",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Installed Release","Versión instalada",openemr,NULL,NULL,NULL,NULL,NULL,NULL
Instructed,Instrucción,test,instrucciones,Instrucción,NULL,NULL,NULL,NULL
Instruction,Instrucción,openemr,NULL,NULL,NULL,NULL,NULL,NULL
Instructions:,instrucciones:,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Instructions: Choose a section and click an item within it; then in the other section you will see the related items highlighted, and you can click in that section to add and delete relationships","Instructions: Choose a section and click an item within it; then in the other section you will see the related items highlighted, and you can click in that section to add and delete relationships",panama,NULL,NULL,NULL,NULL,"Instructions: Choose a section and click an item within it; then in the other section you will see the related items highlighted, and you can click in that section to add and delete relationships",NULL
"Instructions: Choose a section and click an item within it; then in the other section you will see the related items highlighted, and you can click in that section to add and delete relationships.","Instrucciones: Elija una sección y seleccione un elemento dentro de ella; entonces en la otra sección usted verá iluminados los elementos correspondientes; usted puede seleccionar elementos en esa sección para añadir y borrar relaciones.",panama,NULL,NULL,NULL,NULL,"Instrucciones: Elija una sección y seleccione un elemento dentro de ella; entonces en la otra sección usted verá iluminados los elementos correspondientes; usted puede seleccionar elementos en esa sección para añadir y borrar relaciones.",NULL
"Insufficient inventory for product","Insuficiente inventario para el producto",panama,NULL,NULL,NULL,NULL,"Insuficiente inventario para el producto",NULL
"Insufficient inventory for product ID","Inventario insuficiente para ID producto",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Insulin Dependent Diabetes","Diabetes insulino dependente",openemr,NULL,NULL,NULL,NULL,NULL,NULL
Insurance,Seguro,openemr,NULL,NULL,NULL,NULL,NULL,NULL
insurance,Seguro,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Insurance Balance","Saldo del seguro",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Insurance Balance Due",,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Insurance Comp","Sociedad Médica",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Insurance Companies","Cñias.Seguro Médico",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Insurance Company","Cñia.Seguro Médico",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Insurance Company Search/Add","Cñia.Seguro Médico Buscar/Añadir",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Insurance Data","Datos sobre Seguros",test,"Data Seguro","Datos sobre Seguros",NULL,NULL,NULL,NULL
"Insurance information on file","Información del Seguro en fichero",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Insurance Numbers","Num Seguro",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Insurance Payment","Pago Aseguradora",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Insurance Provider","Proveedor de Seguro",openemr,NULL,NULL,NULL,NULL,NULL,NULL
Insured,Asegurado,openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Intake Conclusion","Conclusión Ingesta ",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Intake Date","Fecha de Ingesta",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Intellectual Decline","Declinación intelectual ",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Intermenstrual Bleeding","Sangrado intermenstrual",test,NULL,"Sangrado intermenstrual",NULL,NULL,NULL,NULL
"Internal error - no pages were selected!","Error interno - no se seleccionó ningunas páginas! ",openemr,NULL,NULL,NULL,NULL,NULL,NULL
"Internal error - patient ID was not provided!","Error interno - Nº Identificación del paciente no proporcionado!",openemr,NULL,NULL,NULL,NULL,NULL,NULL
